Archivo,SOC_INIT,SOC_END,DIF_SOC,POWER_CONSUMED,DISTANCIA,DURACION,VELOCIDAD_PROMEDIO,ELEVACION,DESCENSO
Ride_387.csv,36.6933,34.7694,1.9239,320.0,0.556,1,45.79,35,1
Ride_388.csv,97.0243,95.3516,1.6727,240.0,3.755,11,23.23,52,227
Ride_389.csv,92.4584,92.4584,0.0,0.0,0.0,0,44.74,0,0
Ride_39.csv,55.562,55.7744,-0.2124,-160.0,4.366,21,18.78,164,329
Ride_391.csv,81.2866,72.1759,9.1107,1920.0,13.66,21,60.77,82,241
Ride_392.csv,64.813,66.455,-1.642,-400.0,3.287,9,34.17,34,165
Ride_393.csv,66.3227,66.3418,-0.0191,-80.0,0.583,3,15.68,13,34
Ride_394.csv,59.6193,61.7783,-2.159,-480.0,1.518,2,52.11,0,122
Ride_395.csv,62.1717,62.1001,0.0716,0.0,0.016,0,6.37,0,3
Ride_396.csv,61.9469,61.5447,0.4022,80.0,0.614,1,39.11,5,27
Ride_397.csv,94.8001,94.65,0.1501,80.0,0.154,1,5.22,4,3
Ride_398.csv,86.6593,86.3001,0.3592,0.0,3.688,10,40.24,9,183
Ride_399.csv,74.7207,74.9623,-0.2416,-80.0,1.601,3,41.65,21,52
Ride_4.csv,40.193,41.5512,-1.3582,-240.0,0.081,2,0.0,7,13
Ride_40.csv,62.6187,64.586,-1.9673,-480.0,3.825,10,33.35,54,226
Ride_400.csv,74.8466,67.2138,7.6328,1520.0,3.823,13,30.58,203,38
Ride_401.csv,67.3012,68.5167,-1.2155,-320.0,2.183,5,39.91,8,127
Ride_402.csv,68.7427,67.6786,1.0641,160.0,2.311,12,10.81,14,44
Ride_403.csv,66.4291,66.4058,0.0233,0.0,0.141,0,20.54,6,2
Ride_405.csv,87.4609,87.4001,0.0608,0.0,4.092,13,42.09,12,200
Ride_406.csv,87.2365,83.7289,3.5076,640.0,3.386,7,42.83,67,51
Ride_407.csv,74.7484,76.2001,-1.4517,-400.0,3.776,9,37.5,37,212
Ride_408.csv,74.7964,72.7005,2.0959,480.0,2.295,8,23.93,54,31
Ride_409.csv,72.6512,72.4952,0.156,0.0,0.123,6,3.3,3,5
Ride_41.csv,64.431,58.3766,6.0544,1280.0,9.594,16,56.44,161,299
Ride_410.csv,66.4304,68.2094,-1.779,-400.0,3.097,6,41.83,41,149
Ride_411.csv,60.9051,59.5469,1.3582,240.0,2.168,7,32.48,39,54
Ride_412.csv,59.4343,59.1475,0.2868,0.0,0.862,3,23.15,23,36
Ride_413.csv,96.9981,96.6781,0.32,0.0,1.482,3,38.87,13,136
Ride_414.csv,95.6194,95.4784,0.141,80.0,0.441,1,31.15,3,18
Ride_415.csv,92.9111,88.1524,4.7587,1040.0,2.198,5,38.86,187,60
Ride_416.csv,88.3217,87.248,1.0737,80.0,3.036,12,26.06,38,157
Ride_417.csv,60.9949,63.1742,-2.1793,-480.0,3.954,9,38.76,35,213
Ride_418.csv,96.9143,94.6558,2.2585,400.0,3.602,11,45.26,68,182
Ride_419.csv,89.5658,89.3032,0.2626,80.0,0.016,1,0.46,1,3
Ride_42.csv,58.1874,49.5118,8.6756,1920.0,6.436,11,52.07,207,80
Ride_420.csv,74.7574,65.1792,9.5782,2080.0,11.522,23,54.75,172,117
Ride_421.csv,55.9808,50.7001,5.2807,1040.0,9.912,26,38.75,121,240
Ride_422.csv,50.5888,50.5479,0.0409,0.0,0.017,1,0.0,2,0
Ride_423.csv,50.3824,45.6747,4.7077,1040.0,3.254,9,30.94,128,81
Ride_424.csv,96.4312,90.7908,5.6404,1120.0,8.264,18,42.97,118,324
Ride_425.csv,60.4403,53.1001,7.3402,1520.0,3.399,11,33.14,233,39
Ride_426.csv,97.002,89.2001,7.8019,1600.0,10.122,26,43.64,121,300
Ride_427.csv,97.0238,91.3756,5.6482,1200.0,8.56,23,40.41,87,278
Ride_428.csv,91.2434,87.8499,3.3935,640.0,3.516,6,52.32,22,57
Ride_429.csv,79.983,74.2766,5.7064,1200.0,4.469,5,74.54,85,9
Ride_43.csv,43.0974,42.5671,0.5303,-80.0,3.783,10,34.44,32,219
Ride_430.csv,95.4779,92.3069,3.171,720.0,2.681,4,63.67,74,24
Ride_431.csv,71.9513,70.1063,1.845,320.0,8.293,18,43.53,97,254
Ride_432.csv,96.838,95.4883,1.3497,160.0,3.896,7,47.42,7,204
Ride_433.csv,71.8817,66.465,5.4167,1120.0,3.496,13,23.34,222,44
Ride_434.csv,62.1865,62.1927,-0.0062,0.0,2.552,12,0.0,39,27
Ride_44.csv,78.9568,62.725,16.2318,3520.0,11.899,54,21.38,532,425
Ride_45.csv,52.4365,52.3192,0.1173,-80.0,0.612,5,9.89,30,44
Ride_46.csv,77.919,75.2783,2.6407,560.0,1.188,8,17.4,110,99
Ride_47.csv,75.1422,74.3491,0.7931,160.0,0.744,2,21.44,25,60
Ride_48.csv,74.2832,64.8731,9.4101,2000.0,3.823,13,25.1,234,70
Ride_49.csv,64.808,66.2128,-1.4048,-320.0,3.482,9,37.43,47,202
Ride_5.csv,42.6617,41.7308,0.9309,160.0,4.676,13,33.52,80,121
Ride_50.csv,58.8684,45.0387,13.8297,3120.0,13.43,47,27.5,338,398
Ride_51.csv,51.9363,50.9719,0.9644,160.0,12.095,32,35.51,244,532
Ride_52.csv,60.1936,56.9055,3.2881,720.0,6.462,11,28.47,104,258
Ride_53.csv,78.7503,78.1011,0.6492,160.0,3.829,10,29.73,58,230
Ride_54.csv,77.9515,75.887,2.0645,320.0,2.455,7,26.02,48,98
Ride_55.csv,75.6912,64.4464,11.2448,2400.0,5.327,12,41.72,309,77
Ride_56.csv,64.3122,64.8046,-0.4924,-160.0,3.871,10,33.61,145,319
Ride_57.csv,64.6645,62.6178,2.0467,320.0,2.145,7,24.81,132,102
Ride_58.csv,48.4957,42.5999,5.8958,1280.0,9.432,43,22.7,300,390
Ride_59.csv,64.9816,63.2402,1.7414,320.0,3.607,12,24.6,73,88
Ride_6.csv,83.8458,81.1152,2.7306,480.0,4.567,19,22.45,104,197
Ride_60.csv,37.5747,36.6128,0.9619,240.0,4.327,5,60.7,37,127
Ride_61.csv,78.8609,77.4497,1.4112,240.0,5.252,14,36.43,214,254
Ride_62.csv,77.305,69.7445,7.5605,1680.0,4.937,14,30.81,177,95
Ride_63.csv,69.6825,54.696,14.9865,3280.0,11.55,39,33.4,345,252
Ride_64.csv,54.6856,46.5467,8.1389,1840.0,12.381,39,29.96,151,381
Ride_65.csv,78.7884,79.8607,-1.0723,-240.0,1.787,3,40.85,5,131
Ride_66.csv,79.6457,72.9181,6.7276,1440.0,2.523,6,36.54,191,51
Ride_67.csv,61.3742,60.5856,0.7886,80.0,9289.326,17,21.44,1235,178
Ride_68.csv,60.4864,54.0696,6.4168,1280.0,9288.328,9,52.19,1211,79
Ride_69.csv,53.115,51.0773,2.0377,480.0,3.399,12,32.13,74,135
Ride_7.csv,97.2499,97.1021,0.1478,80.0,0.301,8,0.0,59,60
Ride_70.csv,78.7285,58.9757,19.7528,4320.0,9310.204,90,27.54,1706,668
Ride_71.csv,57.7865,52.8005,4.986,1040.0,3.781,15,22.55,126,42
Ride_72.csv,52.0253,51.0709,0.9544,240.0,3.238,5,52.7,51,138
Ride_73.csv,45.3709,41.1263,4.2446,960.0,3.594,10,33.8,115,44
Ride_74.csv,40.8984,36.1737,4.7247,880.0,5.578,13,41.67,84,188
Ride_75.csv,36.039,32.5808,3.4582,720.0,4.985,10,30.14,78,110
Ride_76.csv,78.1539,76.3275,1.8264,320.0,3.059,4,31.84,55,16
Ride_77.csv,66.2049,65.2064,0.9985,160.0,3.879,20,18.39,151,235
Ride_78.csv,65.0406,58.0028,7.0378,1520.0,5.925,24,24.48,241,116
Ride_79.csv,47.7136,44.3973,3.3163,720.0,5.95,26,21.11,189,346
Ride_8.csv,97.0312,97.041,-0.0098,0.0,0.0,0,0.0,0,0
Ride_80.csv,44.1481,39.9476,4.2005,960.0,2.969,15,18.67,67,79
Ride_81.csv,53.8416,47.0831,6.7585,1520.0,3.884,15,23.56,279,108
Ride_82.csv,47.0136,46.4033,0.6103,0.0,3.973,13,31.79,190,307
Ride_83.csv,63.7551,61.9854,1.7697,400.0,3.536,8,39.15,58,158
Ride_84.csv,78.8177,78.8145,0.0032,0.0,0.463,1,29.91,16,27
Ride_85.csv,79.1075,76.8951,2.2124,480.0,1.362,10,11.93,66,77
Ride_86.csv,76.7715,76.0279,0.7436,80.0,0.651,2,8.07,65,46
Ride_87.csv,56.875,57.6665,-0.7915,-160.0,3.876,25,13.9,91,264
Ride_88.csv,57.5467,56.8264,0.7203,80.0,0.684,4,12.26,67,42
Ride_89.csv,56.6035,56.2919,0.3116,0.0,0.665,2,24.89,9,57
Ride_9.csv,43.9472,43.9819,-0.0347,0.0,0.0,0,0.0,0,0
Ride_90.csv,48.2857,47.7152,0.5705,80.0,4.719,11,39.02,73,256
Ride_91.csv,47.5603,45.2417,2.3186,400.0,2.263,27,5.4,82,76
Ride_92.csv,37.8456,37.3409,0.5047,0.0,4.664,10,40.91,52,226
Ride_93.csv,70.3487,69.5264,0.8223,160.0,0.628,2,19.17,38,19
Ride_94.csv,69.323,68.6083,0.7147,80.0,0.551,3,12.13,23,25
Ride_95.csv,68.472,67.7828,0.6892,80.0,2.294,4,8.99,33,41
Ride_96.csv,58.6573,58.2622,0.3951,80.0,4.602,9,46.96,61,229
Ride_97.csv,57.9767,54.4498,3.5269,720.0,7.565,24,29.66,152,271
Ride_98.csv,51.1707,44.6191,6.5516,1440.0,14.048,30,29.65,228,397
Ride_99.csv,52.1131,53.2124,-1.0993,-320.0,3.843,9,37.21,60,236
