Archivo,SOC_INIT,SOC_END,DIF_SOC,POWER_CONSUMED,DISTANCIA,DURACION,VELOCIDAD_PROMEDIO,ELEVACION,DESCENSO
Ride_174.csv,44.9576,44.6098,0.3478,-80.0,3.812,8,40.89,58,223
Ride_175.csv,59.5614,55.3727,4.1887,880.0,4.59,15,28.92,115,198
Ride_176.csv,75.0647,73.6106,1.4541,240.0,6.133,26,21.39,184,344
Ride_177.csv,73.4158,70.0507,3.3651,640.0,2.619,18,12.79,104,154
Ride_178.csv,69.9856,68.7882,1.1974,160.0,0.27,4,4.86,25,17
Ride_179.csv,68.7442,67.3869,1.3573,320.0,0.753,3,15.78,35,27
Ride_18.csv,78.9402,79.6775,-0.7373,-240.0,2.15,6,34.32,70,199
Ride_180.csv,75.3408,75.2837,0.0571,0.0,0.059,0,-2.9,1,2
Ride_181.csv,75.1107,71.5956,3.5151,720.0,1.9,13,11.33,129,121
Ride_182.csv,63.6075,76.236,-12.6285,-2800.0,0.0,31,0.0,1,0
Ride_183.csv,95.1524,95.1524,0.0,0.0,0.0,0,0.0,0,0
Ride_184.csv,97.1233,95.258,1.8653,400.0,3.976,13,34.18,63,239
Ride_185.csv,95.0857,90.2419,4.8438,1120.0,12.656,15,78.93,91,361
Ride_186.csv,66.7434,67.8484,-1.105,-320.0,3.801,15,23.94,83,223
Ride_187.csv,67.6828,59.7028,7.98,1680.0,4.208,17,22.84,271,95
Ride_188.csv,51.7928,52.6624,-0.8696,-240.0,3.806,12,29.43,94,216
Ride_189.csv,52.5835,48.9328,3.6507,800.0,9.375,13,67.56,131,252
Ride_19.csv,59.3648,60.5143,-1.1495,-320.0,3.612,6,29.62,18,158
Ride_190.csv,48.2221,44.2467,3.9754,960.0,3.767,7,46.83,156,65
Ride_191.csv,44.1747,38.3397,5.835,1200.0,4.389,9,42.02,113,81
Ride_192.csv,38.245,36.511,1.734,320.0,0.759,2,28.44,28,12
Ride_193.csv,51.3966,51.0377,0.3589,0.0,3.859,11,32.66,219,283
Ride_194.csv,58.3187,51.1479,7.1708,1600.0,8.874,27,33.16,423,313
Ride_195.csv,96.9986,95.1335,1.8651,320.0,3.023,11,23.95,143,234
Ride_196.csv,78.8805,78.2389,0.6416,80.0,3.803,14,16.4,107,154
Ride_197.csv,66.3443,57.3488,8.9955,1920.0,5.147,17,24.57,301,115
Ride_198.csv,57.3023,51.1161,6.1862,1280.0,9.983,24,39.55,177,389
Ride_199.csv,97.0485,85.2579,11.7906,2560.0,31.068,41,57.99,1536,784
Ride_2.csv,23.6001,24.1001,-0.5,-80.0,0.0,4,0.0,0,0
Ride_20.csv,60.2439,61.6158,-1.3719,-320.0,1.926,5,31.36,29,165
Ride_200.csv,75.7334,72.5326,3.2008,720.0,12.084,12,64.64,46,304
Ride_201.csv,37.3753,36.6547,0.7206,160.0,9284.757,5,12.66,1111,38
Ride_202.csv,33.9234,34.0269,-0.1035,0.0,0.0,0,0.0,0,0
Ride_203.csv,78.9998,60.6419,18.3579,4000.0,9298.002,56,21.9,1505,459
Ride_204.csv,43.5418,38.769,4.7728,1120.0,3.878,4,9.12,109,106
Ride_205.csv,78.9948,77.4962,1.4986,240.0,9292.093,22,23.28,1330,269
Ride_206.csv,45.3834,45.1331,0.2503,80.0,0.126,4,0.0,1,0
Ride_207.csv,31.7679,31.7719,-0.004,0.0,0.0,1,0.0,0,0
Ride_208.csv,72.804,66.6659,6.1381,1360.0,0.0,6,0.0,0,0
Ride_209.csv,66.521,45.4208,21.1002,4640.0,0.0,64,0.0,0,0
Ride_21.csv,60.4571,58.9482,1.5089,320.0,4.172,6,65.2,56,122
Ride_210.csv,67.2929,65.41,1.8829,480.0,0.0,6,0.0,0,0
Ride_211.csv,62.2572,55.6281,6.6291,1440.0,0.0,5,0.0,0,0
Ride_212.csv,55.5439,56.6225,-1.0786,-320.0,0.0,12,0.0,0,0
Ride_213.csv,56.4868,54.1747,2.3121,480.0,0.0,26,0.0,0,0
Ride_214.csv,53.6871,54.5925,-0.9054,-240.0,0.0,10,0.0,0,0
Ride_215.csv,82.2176,77.462,4.7556,960.0,0.0,24,0.0,0,0
Ride_216.csv,96.8987,93.1905,3.7082,880.0,0.0,4,0.0,0,0
Ride_217.csv,56.4993,57.6412,-1.1419,-320.0,0.0,10,0.0,0,0
Ride_218.csv,55.9876,54.2526,1.735,320.0,0.0,12,0.0,0,0
Ride_219.csv,97.0444,96.9384,0.106,0.0,0.0,1,0.0,0,0
Ride_22.csv,58.2023,56.9003,1.302,320.0,1.095,3,31.28,38,23
Ride_220.csv,96.87,90.9791,5.8909,1280.0,0.0,24,0.0,0,0
Ride_221.csv,90.4282,88.8812,1.547,320.0,0.0,7,0.0,0,0
Ride_222.csv,77.4028,72.0409,5.3619,1120.0,0.0,24,0.0,0,0
Ride_223.csv,71.8441,66.8148,5.0293,1040.0,0.0,27,0.0,0,0
Ride_224.csv,65.8753,59.4579,6.4174,1360.0,0.0,16,0.0,0,0
Ride_225.csv,59.7285,57.9242,1.8043,320.0,0.0,12,0.0,0,0
Ride_226.csv,50.8363,44.023,6.8133,1600.0,0.0,26,0.0,0,0
Ride_227.csv,43.8763,33.6947,10.1816,2000.0,0.0,18,0.0,0,0
Ride_228.csv,33.634,33.7538,-0.1198,-160.0,0.0,9,0.0,0,0
Ride_229.csv,33.683,26.9845,6.6985,1360.0,0.0,9,0.0,0,0
Ride_23.csv,56.719,51.8881,4.8309,1040.0,5.697,9,58.5,114,76
Ride_230.csv,26.9318,27.8161,-0.8843,-240.0,0.0,21,0.0,0,0
Ride_231.csv,97.148,85.835,11.313,2400.0,0.0,11,0.0,0,0
Ride_232.csv,85.6468,84.9374,0.7094,80.0,0.0,11,0.0,0,0
Ride_233.csv,75.1687,44.3641,30.8046,6960.0,0.0,85,0.0,0,0
Ride_234.csv,97.1187,90.1437,6.975,1600.0,9.155,23,37.74,183,332
Ride_235.csv,90.1149,51.3444,38.7705,8480.0,18.372,59,31.62,1199,505
Ride_236.csv,51.0106,51.61,-0.5994,-240.0,9309.637,29,62.61,2160,1091
Ride_237.csv,51.5616,49.042,2.5196,480.0,3.985,12,29.77,100,118
Ride_238.csv,82.9751,76.3139,6.6612,1360.0,8.307,43,19.2,207,424
Ride_239.csv,75.9462,72.5565,3.3897,720.0,1.706,15,10.36,45,55
Ride_24.csv,79.0028,78.5732,0.4296,80.0,3.873,14,24.12,89,258
Ride_240.csv,72.4264,70.7366,1.6898,400.0,2.248,7,28.72,62,69
Ride_241.csv,70.686,70.0861,0.5999,80.0,0.879,4,21.54,31,86
Ride_242.csv,61.4995,56.144,5.3555,1120.0,10.902,40,26.01,269,438
Ride_243.csv,55.995,49.1206,6.8744,1600.0,7.497,21,32.33,250,251
Ride_244.csv,48.8495,42.7117,6.1378,1440.0,12.557,14,86.25,93,393
Ride_245.csv,97.0414,94.3491,2.6923,560.0,3.905,11,24.51,214,375
Ride_246.csv,94.2671,86.781,7.4861,1520.0,3.67,8,31.12,251,87
Ride_247.csv,86.6704,85.705,0.9654,80.0,3.856,11,32.14,67,231
Ride_248.csv,85.5744,82.3399,3.2345,560.0,1.757,16,4.08,136,173
Ride_249.csv,74.5384,73.8481,0.6903,80.0,3.812,18,17.79,79,253
Ride_25.csv,78.4714,69.9904,8.481,1840.0,3.938,17,28.11,265,85
Ride_250.csv,73.8059,60.7725,13.0334,2800.0,17.893,42,30.4,379,241
Ride_251.csv,52.6718,52.3424,0.3294,80.0,3.84,15,25.31,49,217
Ride_252.csv,51.7911,49.5881,2.203,480.0,3.037,8,28.97,52,142
Ride_253.csv,97.1026,73.0152,24.0874,5360.0,30.501,48,57.11,742,552
Ride_254.csv,75.6883,75.9279,-0.2396,-80.0,0.001,0,0.0,0,0
